,Country,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
248,Sierra Leone,0.3257210201683648,2.42,7.5,25.6,0.34597829034863653,0.5099954474519874,0.855973737800624,7813.207
249,Singapore,0.09224345584303473,10.99,,,1.5774739707836019,2.271712750263037,3.849186721046638,5804.342999999998
250,Sint Maarten (Dutch part),,,,,,,,
251,Slovakia,0.28795901823866543,7.29,22.4,3.4,2.048648601102582,4.06557654628577,6.114225147388351,5457.012
252,Slovenia,0.15349336396255905,7.25,22.5,1.0,3.4042702633531126,5.800099487456786,9.204369750809898,2078.654
254,Solomon Islands,0.4597796891687146,18.68,20.5,8.9,0.5859774477061781,0.6321091754364225,1.2180866231426009,669.821
255,Somalia,0.3657692621866011,6.05,,,0.36116907012190586,0.43851850163434264,0.7996875717562484,15442.905999999999
256,South Africa,0.20038045475223504,5.52,27.0,6.2,0.5842437242891768,1.1075310681581474,1.691774792447324,58558.267
260,South Sudan,0.2807752335912294,10.43,,,0.4797636328824673,0.5958535592744751,1.0756171921569424,11062.113999999998
265,Spain,0.09940348688026741,7.17,27.1,1.0,3.9661138843491623,5.97782491742799,9.943938801777152,46736.782
266,Sri Lanka,0.19709315437801977,10.68,5.4,9.0,1.334405128107488,2.1119471852350062,3.4463523133424943,21323.734
270,Sudan,0.4313879506373377,15.67,7.4,20.1,0.503928259383891,0.6189394181990955,1.1228676775829864,42813.23700000001
271,Suriname,0.25831351345963677,12.54,26.5,8.5,0.9850988108978381,1.5902284803126439,2.575327291210482,581.3630000000002
272,Swaziland,0.3334355756590112,3.94,,,,,,
273,Sweden,0.13398200658129614,4.79,22.1,1.0,4.018605891300968,5.243837152219359,9.262443043520326,10036.390999999998
274,Switzerland,0.09973931791957152,5.59,21.2,1.0,3.7032665720832822,5.20575261591266,8.909019187995943,8591.360999999999
275,Syria,0.3762642501874896,8.23,,,0.699057277354387,0.9259623768580111,1.625019654212398,17070.132000000005
277,Tajikistan,0.4276981987235482,7.11,12.6,,0.4227540260334086,0.5070688056450455,0.929822831678454,9321.023
278,Tanzania,0.2172881605314864,5.75,7.1,30.7,0.27342770364328295,0.44500465223438185,0.7184323558776647,58005.460999999996
279,Thailand,0.10986122190928423,7.04,10.8,7.8,1.9980774020399203,2.8545858741200303,4.852663276159951,69625.581
281,Togo,0.28003282980117655,6.15,7.1,16.1,0.3304480783395046,0.41100624211322456,0.7414543204527293,8082.3589999999995
282,Tokelau,,,,,,,,
283,Tonga,0.22749033534323013,15.42,,,0.9952438825995003,1.2335282352603423,2.228772117859843,104.497
284,Trinidad and Tobago,0.22846704383712044,10.97,19.7,5.5,1.6111469143758752,2.31496183786163,3.9261087522375053,1394.9689999999998
286,Tunisia,0.3189907945296414,8.52,27.3,4.3,1.35193477467312,1.8407023134626304,3.19263708813575,11694.720999999998
287,Turkey,0.17128541095027935,12.13,32.2,1.0,1.3155605539410007,2.0037802647206524,3.3193408186616526,83429.607
288,Turkmenistan,0.5367834576621665,7.11,17.5,5.4,0.5582038924325332,0.9146775530646267,1.47288144549716,5942.093999999999
289,Turks and Caicos Islands,,,,,,,,
290,Tuvalu,,27.25,,,,,,
291,Uganda,0.21333265860811432,2.5,4.1,41.0,0.1854455972223098,0.3384671286858853,0.5239127259081953,44269.58699999999
292,Ukraine,0.5398490695683262,7.11,26.1,3.5,2.0041895598416346,5.1048488982828735,7.109038458124505,43993.643
293,United Arab Emirates,0.3178397306979854,17.26,29.9,2.6,0.20528065735662548,0.09582902701451283,0.3011096843711383,9770.526
294,United Kingdom,0.12213718500192355,4.28,29.5,1.0,3.676555724485834,4.856698031565481,8.533253756051314,67530.161
295,US,0.15108949194917715,10.79,37.3,1.0,2.8120475693250513,3.9239439797223956,6.735991549047447,329064.9170000001
296,United States Virgin Islands,0.27366963614416984,12.26,,,3.181327035064401,4.430143719102305,7.6114707541667075,104.579
298,Uruguay,0.16070843138209118,6.93,28.9,1.0,2.3974422044924926,4.8043016629541695,7.2017438674466625,3461.731
299,Uzbekistan,0.7244166948686293,7.57,15.3,6.3,0.6156896328768834,0.9126147624524678,1.5283043953293514,32981.715000000004
300,Vanuatu,0.5463001538915505,12.02,23.5,7.2,0.588564835501964,0.5272073682315042,1.115772203733468,299.88200000000006
301,Venezuela,0.20485027700180358,6.47,25.2,21.2,1.0981339521989701,1.6028290813498707,2.70096303354884,28515.829
302,Vietnam,0.24546456969329758,6.0,2.1,9.3,1.0656163558026326,2.031219346771895,3.0968357025745274,96462.10800000002
307,World,0.23307041152204142,8.50962968345763,,,1.4034952776472873,2.0080874242742794,3.4115827019215663,7713468.205000001
308,Yemen,0.49500269940696234,5.35,14.1,38.9,0.3509233719231538,0.4695815316973965,0.8205049036205503,29161.921999999995
309,Zambia,0.2344992853191746,3.94,6.5,46.7,0.20685252600717302,0.40830222931102433,0.6151547553181972,17861.033999999996
310,Zimbabwe,0.30784619516291273,1.82,12.3,51.3,0.31627520667990716,0.695402599834092,1.0116778065139993,14645.473
312,Curacao,,11.62,,,2.7021900222122963,4.204426549506497,6.906616571718792,163.42299999999997
314,Cabo Verde,0.18221876979242943,2.42,10.6,12.6,0.6860798347444067,1.4034360361933025,2.089515870937709,549.9359999999999
315,Czechia,0.2274849040004097,6.82,28.5,1.0,2.9158648068852218,4.8700217686746425,7.785886575559864,10689.213000000002
316,Eswatini,,,13.5,20.6,0.3819243937766792,1.0026712933083537,1.384595687085033,1148.133
318,"Korea, North",,,7.1,47.8,2.366778726481773,4.009618602487625,6.376397328969398,51225.320999999996
319,"Korea, South",0.08599784635309461,6.8,4.9,1.0,,,,
321,North Macedonia,0.32268814004519314,10.08,23.9,3.2,2.1062099643957306,2.99098901921709,5.09719898361282,2083.458
324,Taiwan*,0.10395702308661207,,,3.5,,,,
325,Timor-Leste,0.33534551814212066,6.86,2.9,24.9,0.5993256619648603,0.7910325414501361,1.3903582034149966,1293.12
328,Africa,,,,,0.43626131689122866,0.60859414591903,1.0448554628102589,1308064.1760000002
338,Asia,,,,,1.2657831466538307,1.6909349735570762,2.9567181202109065,4601371.266
433,Europe,,,,,3.1956243533250968,5.409322482878573,8.60494683620367,1494365.63
473,Melanesia,,,,,0.45429175748319334,0.5449083182778934,0.9992000757610866,10918.534
474,Micronesia,0.45434338640378125,12.02,,,0.7236656896351866,1.163605853356959,1.8872715429921454,543.4829999999998
