,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population,Clusters
45,Estonia,0.1307284205698492,0.004526084959140769,0.05634975774130256,0.06985257786940587,0.25556930328316346,4.02,23.8,2.9,2.8774585127737433,7.0328571137608815,9.910315626534626,1325.649,2
46,Ethiopia,0.000187368295144894,4.461149884402238e-06,8.654630775740342e-05,9.636083750308834e-05,0.1826344308509356,7.47,3.6,20.6,0.5171846750186591,0.6129637785768214,1.1301484535954802,112078.727,0
47,Fiji,0.002022574175098741,0.0,0.0015731132472990208,0.00044946092779972013,0.4128204195817586,14.49,30.0,3.7,0.6116039575034693,0.8876853324044472,1.4992892899079169,889.955,1
48,Finland,0.10628761754678417,0.004790173239778538,0.07230450173250623,0.029192942574499392,0.1535066471783443,5.76,24.9,1.0,3.672436023621158,5.670155178114007,9.342591201735164,5532.159000000001,2
49,Gabon,0.030424684407188134,0.000368226135034047,0.005063109356718147,0.02499334891543594,0.25996669198552064,7.2,13.4,10.5,0.4639649301428994,0.7183631611845466,1.182328091327446,2172.5780000000004,0
50,Gambia,0.0008518990533697719,4.25949526684886e-05,0.0003833545740163974,0.00042594952668488593,0.33143028295346305,1.91,8.7,10.2,0.3402058869632184,0.36874450525110575,0.7089503922143242,2347.696,0
51,Georgia,0.015662678938600797,0.00025020253895528425,0.007431015406971942,0.007981460992673568,0.4962180377012411,7.11,23.3,7.9,2.1087570388229278,4.257621544640386,6.366378583463312,3996.762,1
52,Germany,0.20513656577365058,0.009038873333714413,0.17158173913382904,0.024515953306107115,0.15613854945276667,8.31,25.7,1.0,4.63070616745712,6.736337393925548,11.367043561382664,83517.046,2
53,Ghana,0.014014793546606731,7.232593432450109e-05,0.0012426910533937005,0.012699776558888532,0.2982452763864152,4.97,9.7,5.5,0.3578555728677543,0.4610252306391858,0.8188808035069399,30417.858,0
54,Greece,0.025874945528943084,0.0014417405073322532,0.013118883821685535,0.011314321199925297,0.17569483675492725,4.55,27.4,1.0,4.814267540444163,6.512742885535732,11.327010425979896,10473.452,2
55,Guatemala,0.005500107044482497,0.00013650731030773522,0.0005915316780001859,0.004772068056174577,0.15589769141045726,10.18,18.8,15.2,0.8660876936612145,1.0946748725761128,1.960762566237328,17581.476000000006,1
56,Guinea,0.01598904288587033,8.61309851834347e-05,0.005465402514367038,0.010437509386319859,0.3367168477239913,2.42,6.6,16.5,0.3173065494157734,0.5027387304261463,0.8200452798419199,12771.246000000005,0
