,Country,Confirmed,Deaths,Recovered,Active,Cardio Death Rate,Diabetes Percentage,Obesity,Undernourished,PopMale,PopFemale,PopTotal,Total Population
148,Saudi Arabia,37136,239,10144,26753,0.2595379835108008,17.72,35.0,7.1,0.5198851692758683,0.5434840812688517,1.06336925054472,34268.528999999995
149,Senegal,1634,17,643,974,0.24121914878972803,2.42,7.4,11.3,0.38696980344447435,0.5543875375375193,0.9413573409819936,16296.361999999997
150,Serbia,10032,215,2732,7085,0.4394150345307015,10.08,23.5,5.7,2.7403186510884128,4.215941491716815,6.956260142805229,8772.227999999997
152,Sierra Leone,291,18,58,215,0.3257210201683648,2.42,7.5,25.6,0.34597829034863653,0.5099954474519874,0.855973737800624,7813.207
154,Slovakia,1455,26,919,510,0.28795901823866543,7.29,22.4,3.4,2.048648601102582,4.06557654628577,6.114225147388351,5457.012
155,Slovenia,1454,101,255,1098,0.15349336396255905,7.25,22.5,1.0,3.4042702633531126,5.800099487456786,9.204369750809898,2078.654
157,South Africa,9420,186,3983,5251,0.20038045475223504,5.52,27.0,6.2,0.5842437242891768,1.1075310681581474,1.691774792447324,58558.267
159,Spain,223578,26478,133952,63148,0.09940348688026741,7.17,27.1,1.0,3.9661138843491623,5.97782491742799,9.943938801777152,46736.782
160,Sri Lanka,847,9,260,578,0.19709315437801977,10.68,5.4,9.0,1.334405128107488,2.1119471852350062,3.4463523133424943,21323.734
161,Sudan,1164,64,119,981,0.4313879506373377,15.67,7.4,20.1,0.503928259383891,0.6189394181990955,1.1228676775829864,42813.23700000001
162,Suriname,10,1,9,0,0.25831351345963677,12.54,26.5,8.5,0.9850988108978381,1.5902284803126439,2.575327291210482,581.3630000000002
163,Sweden,25921,3220,4971,17730,0.13398200658129614,4.79,22.1,1.0,4.018605891300968,5.243837152219359,9.262443043520326,10036.390999999998
164,Switzerland,30251,1830,26400,2021,0.09973931791957152,5.59,21.2,1.0,3.7032665720832822,5.20575261591266,8.909019187995943,8591.360999999999
168,Tanzania,509,21,183,305,0.2172881605314864,5.75,7.1,30.7,0.27342770364328295,0.44500465223438185,0.7184323558776647,58005.460999999996
169,Thailand,3004,56,2787,161,0.10986122190928423,7.04,10.8,7.8,1.9980774020399203,2.8545858741200303,4.852663276159951,69625.581
170,Timor-Leste,24,0,21,3,0.33534551814212066,6.86,2.9,24.9,0.5993256619648603,0.7910325414501361,1.3903582034149966,1293.12
171,Togo,153,10,87,56,0.28003282980117655,6.15,7.1,16.1,0.3304480783395046,0.41100624211322456,0.7414543204527293,8082.3589999999995
172,Trinidad and Tobago,116,8,104,4,0.22846704383712044,10.97,19.7,5.5,1.6111469143758752,2.31496183786163,3.9261087522375053,1394.9689999999998
173,Tunisia,1032,45,660,327,0.3189907945296414,8.52,27.3,4.3,1.35193477467312,1.8407023134626304,3.19263708813575,11694.720999999998
174,Turkey,137115,3739,89480,43896,0.17128541095027935,12.13,32.2,1.0,1.3155605539410007,2.0037802647206524,3.3193408186616526,83429.607
175,Uganda,116,0,55,61,0.21333265860811432,2.5,4.1,41.0,0.1854455972223098,0.3384671286858853,0.5239127259081953,44269.58699999999
176,Ukraine,14710,376,2909,11425,0.5398490695683262,7.11,26.1,3.5,2.0041895598416346,5.1048488982828735,7.109038458124505,43993.643
177,United Arab Emirates,17417,185,4295,12937,0.3178397306979854,17.26,29.9,2.6,0.20528065735662548,0.09582902701451283,0.3011096843711383,9770.526
178,Uruguay,702,18,513,171,0.16070843138209118,6.93,28.9,1.0,2.3974422044924926,4.8043016629541695,7.2017438674466625,3461.731
179,Uzbekistan,2349,10,1846,493,0.7244166948686293,7.57,15.3,6.3,0.6156896328768834,0.9126147624524678,1.5283043953293514,32981.715000000004
180,Venezuela,402,10,190,202,0.20485027700180358,6.47,25.2,21.2,1.0981339521989701,1.6028290813498707,2.70096303354884,28515.829
181,Vietnam,288,0,241,47,0.24546456969329758,6.0,2.1,9.3,1.0656163558026326,2.031219346771895,3.0968357025745274,96462.10800000002
184,Yemen,34,7,1,26,0.49500269940696234,5.35,14.1,38.9,0.3509233719231538,0.4695815316973965,0.8205049036205503,29161.921999999995
185,Zambia,252,7,112,133,0.2344992853191746,3.94,6.5,46.7,0.20685252600717302,0.40830222931102433,0.6151547553181972,17861.033999999996
186,Zimbabwe,35,4,9,22,0.30784619516291273,1.82,12.3,51.3,0.31627520667990716,0.695402599834092,1.0116778065139993,14645.473
